card_name,set_id,card_number,binder_name,page_number,slot_number,card_id,set_name,card_market_value,index
Alakazam,base4,1,2,1,1,base4-1,Base Set 2,36.39,2_1_1
Blastoise,base4,2,2,1,2,base4-2,Base Set 2,102.11,2_1_2
Chansey,base4,3,2,1,3,base4-3,Base Set 2,14.56,2_1_3
Charizard,base4,4,2,1,4,base4-4,Base Set 2,304.88,2_1_4
Clefable,base4,5,2,1,5,base4-5,NOT_FOUND,0.0,2_1_5
Clefairy,base4,6,2,1,6,base4-6,NOT_FOUND,0.0,2_1_6
Gyarados,base4,7,2,1,7,base4-7,NOT_FOUND,0.0,2_1_7
Hitmonchan,base4,8,2,1,8,base4-8,NOT_FOUND,0.0,2_1_8
Magneton,base4,9,2,1,9,base4-9,NOT_FOUND,0.0,2_1_9
Mewtwo,base4,10,2,2,1,base4-10,NOT_FOUND,0.0,2_2_1
Nidoking,base4,11,2,2,2,base4-11,NOT_FOUND,0.0,2_2_2
Nidoqueen,base4,12,2,2,3,base4-12,NOT_FOUND,0.0,2_2_3
Ninetales,base4,13,2,2,4,base4-13,NOT_FOUND,0.0,2_2_4
Pidgeot,base4,14,2,2,5,base4-14,NOT_FOUND,0.0,2_2_5
Poliwrath,base4,15,2,2,6,base4-15,NOT_FOUND,0.0,2_2_6
Raichu,base4,16,2,2,7,base4-16,NOT_FOUND,0.0,2_2_7
Scyther,base4,17,2,2,8,base4-17,NOT_FOUND,0.0,2_2_8
Venusaur,base4,18,2,2,9,base4-18,NOT_FOUND,0.0,2_2_9
Wigglytuff,base4,19,2,3,1,base4-19,NOT_FOUND,0.0,2_3_1
Zapdos,base4,20,2,3,2,base4-20,NOT_FOUND,0.0,2_3_2
Beedrill,base4,21,2,3,3,base4-21,NOT_FOUND,0.0,2_3_3
Dragonair,base4,22,2,3,4,base4-22,NOT_FOUND,0.0,2_3_4
Dugtrio,base4,23,2,3,5,base4-23,NOT_FOUND,0.0,2_3_5
Electabuzz,base4,24,2,3,6,base4-24,NOT_FOUND,0.0,2_3_6
Electrode,base4,25,2,3,7,base4-25,NOT_FOUND,0.0,2_3_7
Kangaskhan,base4,26,2,3,8,base4-26,NOT_FOUND,0.0,2_3_8
Mr. Mime,base4,27,2,3,9,base4-27,NOT_FOUND,0.0,2_3_9
Pidgeotto,base4,28,2,4,1,base4-28,NOT_FOUND,0.0,2_4_1
Pinsir,base4,29,2,4,2,base4-29,NOT_FOUND,0.0,2_4_2
Snorlax,base4,30,2,4,3,base4-30,NOT_FOUND,0.0,2_4_3
Venomoth,base4,31,2,4,4,base4-31,NOT_FOUND,0.0,2_4_4
Victreebel,base4,32,2,4,5,base4-32,NOT_FOUND,0.0,2_4_5
Arcanine,base4,33,2,4,6,base4-33,NOT_FOUND,0.0,2_4_6
Butterfree,base4,34,2,4,7,base4-34,NOT_FOUND,0.0,2_4_7
Charmeleon,base4,35,2,4,8,base4-35,NOT_FOUND,0.0,2_4_8
Dewgong,base4,36,2,4,9,base4-36,NOT_FOUND,0.0,2_4_9
Dodrio,base4,37,2,5,1,base4-37,NOT_FOUND,0.0,2_5_1
Dratini,base4,38,2,5,2,base4-38,NOT_FOUND,0.0,2_5_2
Exeggutor,base4,39,2,5,3,base4-39,NOT_FOUND,0.0,2_5_3
Farfetch'd,base4,40,2,5,4,base4-40,NOT_FOUND,0.0,2_5_4
Fearow,base4,41,2,5,5,base4-41,NOT_FOUND,0.0,2_5_5
Growlithe,base4,42,2,5,6,base4-42,NOT_FOUND,0.0,2_5_6
Haunter,base4,43,2,5,7,base4-43,NOT_FOUND,0.0,2_5_7
Ivysaur,base4,44,2,5,8,base4-44,NOT_FOUND,0.0,2_5_8
Jynx,base4,45,2,5,9,base4-45,NOT_FOUND,0.0,2_5_9
Kadabra,base4,46,2,6,1,base4-46,NOT_FOUND,0.0,2_6_1
Kakuna,base4,47,2,6,2,base4-47,NOT_FOUND,0.0,2_6_2
Lickitung,base4,48,2,6,3,base4-48,NOT_FOUND,0.0,2_6_3
Machoke,base4,49,2,6,4,base4-49,NOT_FOUND,0.0,2_6_4
Magikarp,base4,50,2,6,5,base4-50,NOT_FOUND,0.0,2_6_5
Magmar,base4,51,2,6,6,base4-51,NOT_FOUND,0.0,2_6_6
Marowak,base4,52,2,6,7,base4-52,NOT_FOUND,0.0,2_6_7
Nidorina,base4,53,2,6,8,base4-53,NOT_FOUND,0.0,2_6_8
Nidorino,base4,54,2,6,9,base4-54,NOT_FOUND,0.0,2_6_9
Parasect,base4,55,2,7,1,base4-55,NOT_FOUND,0.0,2_7_1
Persian,base4,56,2,7,2,base4-56,NOT_FOUND,0.0,2_7_2
Poliwhirl,base4,57,2,7,3,base4-57,NOT_FOUND,0.0,2_7_3
Raticate,base4,58,2,7,4,base4-58,NOT_FOUND,0.0,2_7_4
Rhydon,base4,59,2,7,5,base4-59,NOT_FOUND,0.0,2_7_5
Seaking,base4,60,2,7,6,base4-60,NOT_FOUND,0.0,2_7_6
Seel,base4,61,2,7,7,base4-61,NOT_FOUND,0.0,2_7_7
Tauros,base4,62,2,7,8,base4-62,NOT_FOUND,0.0,2_7_8
Wartortle,base4,63,2,7,9,base4-63,NOT_FOUND,0.0,2_7_9
Weepinbell,base4,64,2,8,1,base4-64,NOT_FOUND,0.0,2_8_1
Abra,base4,65,2,8,2,base4-65,NOT_FOUND,0.0,2_8_2
Bellsprout,base4,66,2,8,3,base4-66,NOT_FOUND,0.0,2_8_3
Bulbasaur,base4,67,2,8,4,base4-67,NOT_FOUND,0.0,2_8_4
Caterpie,base4,68,2,8,5,base4-68,NOT_FOUND,0.0,2_8_5
Charmander,base4,69,2,8,6,base4-69,NOT_FOUND,0.0,2_8_6
Cubone,base4,70,2,8,7,base4-70,NOT_FOUND,0.0,2_8_7
Diglett,base4,71,2,8,8,base4-71,NOT_FOUND,0.0,2_8_8
Doduo,base4,72,2,8,9,base4-72,NOT_FOUND,0.0,2_8_9
Drowzee,base4,73,2,9,1,base4-73,NOT_FOUND,0.0,2_9_1
Exeggcute,base4,74,2,9,2,base4-74,NOT_FOUND,0.0,2_9_2
Gastly,base4,75,2,9,3,base4-75,NOT_FOUND,0.0,2_9_3
Goldeen,base4,76,2,9,4,base4-76,NOT_FOUND,0.0,2_9_4
Jigglypuff,base4,77,2,9,5,base4-77,NOT_FOUND,0.0,2_9_5
Machop,base4,78,2,9,6,base4-78,NOT_FOUND,0.0,2_9_6
Magnemite,base4,79,2,9,7,base4-79,NOT_FOUND,0.0,2_9_7
Meowth,base4,80,2,9,8,base4-80,NOT_FOUND,0.0,2_9_8
Metapod,base4,81,2,9,9,base4-81,NOT_FOUND,0.0,2_9_9
Nidoran ♀,base4,82,2,10,1,base4-82,NOT_FOUND,0.0,2_10_1
Nidoran ♂,base4,83,2,10,2,base4-83,NOT_FOUND,0.0,2_10_2
Onix,base4,84,2,10,3,base4-84,NOT_FOUND,0.0,2_10_3
Paras,base4,85,2,10,4,base4-85,NOT_FOUND,0.0,2_10_4
Pidgey,base4,86,2,10,5,base4-86,NOT_FOUND,0.0,2_10_5
Pikachu,base4,87,2,10,6,base4-87,NOT_FOUND,0.0,2_10_6
Poliwag,base4,88,2,10,7,base4-88,NOT_FOUND,0.0,2_10_7
Rattata,base4,89,2,10,8,base4-89,NOT_FOUND,0.0,2_10_8
Rhyhorn,base4,90,2,10,9,base4-90,NOT_FOUND,0.0,2_10_9
Sandshrew,base4,91,2,11,1,base4-91,NOT_FOUND,0.0,2_11_1
Spearow,base4,92,2,11,2,base4-92,NOT_FOUND,0.0,2_11_2
Squirtle,base4,93,2,11,3,base4-93,NOT_FOUND,0.0,2_11_3
Starmie,base4,94,2,11,4,base4-94,NOT_FOUND,0.0,2_11_4
Staryu,base4,95,2,11,5,base4-95,NOT_FOUND,0.0,2_11_5
Tangela,base4,96,2,11,6,base4-96,NOT_FOUND,0.0,2_11_6
